Start time,End time,Dataset,Augmentation technique,Dataset Reduction (r),Experiment #,Training Epochs,Test loss,Test accuracy
49:38.2,57:04.0,Tag My News (Titles Only),No Augmentation,0.795880017,3,177,0.703328967,78.69701386
57:04.0,03:46.9,Tag My News (Titles Only),No Augmentation,0.886056648,3,147,0.703000009,78.38690579
03:46.9,11:30.4,Tag My News (Titles Only),No Augmentation,1,3,152,0.671957642,77.98337042
11:30.4,12:27.7,Tag My News (Titles Only),No Augmentation,0.013228266,4,181,1.825697064,38.46153915
12:27.7,14:02.7,Tag My News (Titles Only),No Augmentation,0.026872146,4,299,1.340173125,56.86274767
14:02.7,15:52.9,Tag My News (Titles Only),No Augmentation,0.040958608,4,377,1.243174791,57.69230723
15:52.9,18:00.2,Tag My News (Titles Only),No Augmentation,0.055517328,4,356,1.058373332,61.90476418
18:00.2,19:51.1,Tag My News (Titles Only),No Augmentation,0.070581074,4,314,1.151857018,61.94030046
19:51.1,22:19.0,Tag My News (Titles Only),No Augmentation,0.086186148,4,355,0.989551365,66.87116623
22:19.0,24:39.8,Tag My News (Titles Only),No Augmentation,0.102372909,4,345,1.032319903,68.04123521
24:39.8,27:58.9,Tag My News (Titles Only),No Augmentation,0.119186408,4,305,1.057082415,65.77777863
27:58.9,30:46.4,Tag My News (Titles Only),No Augmentation,0.13667714,4,262,1.104763031,62.40310073
30:46.4,33:16.7,Tag My News (Titles Only),No Augmentation,0.15490196,4,205,1.006147623,64.84641433
33:16.7,36:11.3,Tag My News (Titles Only),No Augmentation,0.173925197,4,254,0.869897008,70.82067132
36:11.3,39:03.9,Tag My News (Titles Only),No Augmentation,0.193820026,4,232,0.891384423,68.57923269
39:03.9,42:46.9,Tag My News (Titles Only),No Augmentation,0.214670165,4,295,0.822563708,72.66010046
42:46.9,47:28.2,Tag My News (Titles Only),No Augmentation,0.236572006,4,296,1.076117277,69.12751794
47:28.2,51:31.5,Tag My News (Titles Only),No Augmentation,0.259637311,4,268,0.783609211,77.55101919
51:31.5,54:33.8,Tag My News (Titles Only),No Augmentation,0.283996656,4,229,0.89000392,73.32089543
54:33.8,58:07.8,Tag My News (Titles Only),No Augmentation,0.30980392,4,247,0.834312856,72.82051444
58:07.8,01:32.4,Tag My News (Titles Only),No Augmentation,0.337242168,4,219,0.809737206,72.68446088
01:32.4,05:52.8,Tag My News (Titles Only),No Augmentation,0.366531544,4,224,0.854420304,73.12138677
05:52.8,10:47.7,Tag My News (Titles Only),No Augmentation,0.397940009,4,239,0.827972531,76.43142343
10:47.7,14:52.6,Tag My News (Titles Only),No Augmentation,0.431798276,4,187,0.777869463,74.84662533
14:52.6,20:25.7,Tag My News (Titles Only),No Augmentation,0.468521083,4,220,0.818857193,74.43438768
20:25.7,25:17.0,Tag My News (Titles Only),No Augmentation,0.508638306,4,185,0.738133311,77.39583254
25:17.0,29:42.9,Tag My News (Titles Only),No Augmentation,0.552841969,4,157,0.78907162,69.9909091
29:42.9,35:47.4,Tag My News (Titles Only),No Augmentation,0.602059991,4,194,0.743208557,77.64117718
35:47.4,41:12.7,Tag My News (Titles Only),No Augmentation,0.657577319,4,160,0.704270601,77.97655761
41:12.7,47:52.6,Tag My News (Titles Only),No Augmentation,0.721246399,4,172,0.747882843,77.68864334
47:52.6,56:00.7,Tag My News (Titles Only),No Augmentation,0.795880017,4,187,0.769506156,75.35020113
56:00.7,02:31.5,Tag My News (Titles Only),No Augmentation,0.886056648,4,145,0.684010684,76.89881027
02:31.5,09:45.5,Tag My News (Titles Only),No Augmentation,1,4,142,0.698670983,77.85152197
09:45.5,10:45.1,Tag My News (Titles Only),No Augmentation,0.013228266,5,185,1.309864044,53.8461566
10:45.1,12:22.0,Tag My News (Titles Only),No Augmentation,0.026872146,5,297,1.315972447,54.90196347
12:22.0,13:55.3,Tag My News (Titles Only),No Augmentation,0.040958608,5,318,1.281562209,57.69230723
13:55.3,16:41.8,Tag My News (Titles Only),No Augmentation,0.055517328,5,456,1.035722256,67.61904955
16:41.8,18:30.2,Tag My News (Titles Only),No Augmentation,0.070581074,5,305,1.254210949,58.20895433
18:30.2,21:05.4,Tag My News (Titles Only),No Augmentation,0.086186148,5,373,1.158485293,62.57668734
21:05.4,23:47.6,Tag My News (Titles Only),No Augmentation,0.102372909,5,359,1.106782794,66.49484634
23:47.6,27:12.3,Tag My News (Titles Only),No Augmentation,0.119186408,5,345,1.035752177,70.66666484
27:12.3,30:21.9,Tag My News (Titles Only),No Augmentation,0.13667714,5,310,1.145669103,62.01550364
30:21.9,33:22.8,Tag My News (Titles Only),No Augmentation,0.15490196,5,262,0.850351155,67.57678986
33:22.8,36:42.7,Tag My News (Titles Only),No Augmentation,0.173925197,5,294,0.928885877,69.60486174
36:42.7,39:20.1,Tag My News (Titles Only),No Augmentation,0.193820026,5,289,0.947860062,71.03825212
39:20.1,41:52.3,Tag My News (Titles Only),No Augmentation,0.214670165,5,247,0.906758547,69.45812702
41:52.3,44:31.4,Tag My News (Titles Only),No Augmentation,0.236572006,5,212,0.803127766,73.15436006
44:31.4,48:01.6,Tag My News (Titles Only),No Augmentation,0.259637311,5,249,0.921094179,71.63265347
48:01.6,51:42.5,Tag My News (Titles Only),No Augmentation,0.283996656,5,245,0.807981372,77.05224156
51:42.5,55:19.0,Tag My News (Titles Only),No Augmentation,0.30980392,5,223,0.847000659,72.64957428
55:19.0,59:25.2,Tag My News (Titles Only),No Augmentation,0.337242168,5,238,0.821574807,73.94034266
59:25.2,03:29.3,Tag My News (Titles Only),No Augmentation,0.366531544,5,203,0.88829422,72.39884138
03:29.3,08:03.6,Tag My News (Titles Only),No Augmentation,0.397940009,5,205,0.904404819,70.43941617
08:03.6,12:59.1,Tag My News (Titles Only),No Augmentation,0.431798276,5,225,0.810593963,72.26994038
12:59.1,17:29.8,Tag My News (Titles Only),No Augmentation,0.468521083,5,184,0.765012026,76.35746598
17:29.8,22:32.5,Tag My News (Titles Only),No Augmentation,0.508638306,5,197,0.744696677,76.04166865
22:32.5,27:29.6,Tag My News (Titles Only),No Augmentation,0.552841969,5,171,0.838790476,69.91818249
27:29.6,33:56.5,Tag My News (Titles Only),No Augmentation,0.602059991,5,200,0.719421476,78.27352881
33:56.5,39:42.8,Tag My News (Titles Only),No Augmentation,0.657577319,5,168,0.769177854,76.67427361
39:42.8,45:18.7,Tag My News (Titles Only),No Augmentation,0.721246399,5,142,0.658974737,78.47770154
45:18.7,54:10.3,Tag My News (Titles Only),No Augmentation,0.795880017,5,207,0.769131392,77.44542062
54:10.3,01:23.2,Tag My News (Titles Only),No Augmentation,0.886056648,5,156,0.669187099,78.62738073
01:23.2,08:56.8,Tag My News (Titles Only),No Augmentation,1,5,145,0.692726701,78.29611003
08:56.8,09:19.6,Tag My News (Titles Only),No Augmentation,0.013228266,6,55,1.901916623,26.9230783
09:19.6,10:37.9,Tag My News (Titles Only),No Augmentation,0.026872146,6,229,1.206210613,64.70588446
10:37.9,12:03.8,Tag My News (Titles Only),No Augmentation,0.040958608,6,237,1.341040015,50
12:03.8,13:59.1,Tag My News (Titles Only),No Augmentation,0.055517328,6,348,1.157217145,60.00000238
13:59.1,16:21.6,Tag My News (Titles Only),No Augmentation,0.070581074,6,359,1.071421385,68.65671873
16:21.6,18:47.2,Tag My News (Titles Only),No Augmentation,0.086186148,6,351,1.072113633,61.96318865
18:47.2,21:30.3,Tag My News (Titles Only),No Augmentation,0.102372909,6,393,1.151695013,61.34020686
21:30.3,24:40.5,Tag My News (Titles Only),No Augmentation,0.119186408,6,292,0.940452039,68.44444275
24:40.5,27:35.2,Tag My News (Titles Only),No Augmentation,0.13667714,6,342,0.983113229,70.54263353
27:35.2,29:45.8,Tag My News (Titles Only),No Augmentation,0.15490196,6,248,0.939964294,67.57678986
29:45.8,32:33.5,Tag My News (Titles Only),No Augmentation,0.173925197,6,290,1.032028675,68.693012
32:33.5,35:28.8,Tag My News (Titles Only),No Augmentation,0.193820026,6,288,0.891051471,71.03825212
35:28.8,38:49.9,Tag My News (Titles Only),No Augmentation,0.214670165,6,307,0.863964975,75.86206794
38:49.9,41:44.6,Tag My News (Titles Only),No Augmentation,0.236572006,6,219,1.005475402,67.78523326
41:44.6,45:52.5,Tag My News (Titles Only),No Augmentation,0.259637311,6,285,0.869276166,73.87754917
45:52.5,49:40.5,Tag My News (Titles Only),No Augmentation,0.283996656,6,247,0.949528694,70.1492548
49:40.5,53:36.1,Tag My News (Titles Only),No Augmentation,0.30980392,6,230,0.802156925,73.33333492
53:36.1,58:13.2,Tag My News (Titles Only),No Augmentation,0.337242168,6,254,0.911561131,70.95761299
58:13.2,02:01.4,Tag My News (Titles Only),No Augmentation,0.366531544,6,190,0.826965868,74.13294911
02:01.4,06:06.4,Tag My News (Titles Only),No Augmentation,0.397940009,6,201,0.74604708,76.16511583
06:06.4,11:12.7,Tag My News (Titles Only),No Augmentation,0.431798276,6,239,0.797486246,74.84662533
