Dataset,Augmentation technique,Dataset Reduction (r),Experiment #,Training Epochs,Test loss,Test accuracy
Google Snippets,Augmentation with max. window size 3,0.013228266,14.5,290.75,1.29568797885,60.75
Google Snippets,Augmentation with max. window size 3,0.026872146,14.5,333.31666666666666,1.0654840008833335,70.5691056935
Google Snippets,Augmentation with max. window size 3,0.040958608,14.5,366.3333333333333,0.9745171924000001,74.23497267783331
Google Snippets,Augmentation with max. window size 3,0.055517328,14.5,357.5,0.9155952,76.50602409633333
Google Snippets,Augmentation with max. window size 3,0.07058107400000001,14.5,402.28333333333336,0.8596452899333334,77.89308176083334
Google Snippets,Augmentation with max. window size 3,0.086186148,14.5,399.75,0.8484987266500003,77.6098191215
Google Snippets,Augmentation with max. window size 3,0.102372909,14.5,403.0,0.8091528623166669,79.01960784383337
Google Snippets,Augmentation with max. window size 3,0.11918640800000001,14.5,410.98333333333335,0.7842452407166666,80.037453183
Google Snippets,Augmentation with max. window size 3,0.13667714,14.5,415.4,0.7537649151500001,80.4166666665
Google Snippets,Augmentation with max. window size 3,0.15490196,14.5,305.51666666666665,0.7257026505333333,80.76479076499999
Google Snippets,Augmentation with max. window size 3,0.173925197,14.5,281.43333333333334,0.671429345533333,82.13642213700001
Google Snippets,Augmentation with max. window size 3,0.193820026,14.5,280.35,0.6644863587333335,82.42791234216666
Google Snippets,Augmentation with max. window size 3,0.214670165,14.5,267.28333333333336,0.6767273577000001,82.19791666666667
Google Snippets,Augmentation with max. window size 3,0.236572006,14.5,279.6,0.6710335046166668,82.6373106061667
Google Snippets,Augmentation with max. window size 3,0.25963731100000004,14.508474576271187,279.271186440678,0.6404417785423727,83.3442823983051
Google Snippets,Augmentation with max. window size 3,0.283996656,13.60377358490566,285.07547169811323,0.611481448245283,84.04032294056604
Google Snippets,Augmentation with max. window size 3,0.30980392,14.258620689655173,227.27586206896552,0.6050194044137932,84.0376991537931
Google Snippets,Augmentation with max. window size 3,0.33724216799999995,14.017543859649123,222.59649122807016,0.5855047524736842,84.64737541105262
Google Snippets,Augmentation with max. window size 3,0.366531544,13.833333333333334,221.88888888888889,0.5738401636851854,84.84199796111112
Google Snippets,Augmentation with max. window size 3,0.397940009,13.88679245283019,216.24528301886792,0.577356618301887,84.60288118264148
Google Snippets,Augmentation with max. window size 3,0.43179827600000004,13.384615384615385,225.96153846153845,0.5646390308461536,85.04672897019229
Google Snippets,Augmentation with max. window size 3,0.46852108299999995,13.653846153846153,196.44230769230768,0.5421261136153847,85.86524666134616
Google Snippets,Augmentation with max. window size 3,0.508638306,13.32,192.24,0.5452746909799999,85.5693527086
Google Snippets,Augmentation with max. window size 3,0.5528419689999999,13.5,193.82,0.5264388588600001,86.2260024294
Google Snippets,Augmentation with max. window size 3,0.602059991,12.619047619047619,175.28571428571428,0.5255337394761905,86.01721938809523
Google Snippets,Augmentation with max. window size 3,0.6575773189999999,11.5,166.5,0.5155905745,86.33833219722223
Google Snippets,Augmentation with max. window size 3,0.7212463990000001,10.266666666666667,186.66666666666666,0.5132808392666666,86.59264840333334
Google Snippets,Augmentation with max. window size 3,0.795880017,10.823529411764707,146.0,0.46903303764705884,87.50818414235295
Google Snippets,Augmentation with max. window size 3,0.886056648,10.5,146.92857142857142,0.4532272497142857,88.00527852571427
Google Snippets,Augmentation with max. window size 3,1.0,9.692307692307692,142.07692307692307,0.4524983416923077,87.68255409923076
Google Snippets,No Augmentation,0.013228266,14.5,262.1333333333333,1.421885471966667,53.5
Google Snippets,No Augmentation,0.026872146,14.5,337.8333333333333,1.1323294730666666,66.86991870166668
Google Snippets,No Augmentation,0.040958608,14.5,380.0833333333333,0.9919060871833335,73.68852459016665
Google Snippets,No Augmentation,0.055517328,14.5,383.48333333333335,0.9191753562333334,76.04417670650001
Google Snippets,No Augmentation,0.07058107400000001,14.5,389.3333333333333,0.9097415722500001,76.11635220116666
