Start time,End time,Dataset,Augmentation technique,Dataset Reduction (r),Experiment #,Training Epochs,Test loss,Test accuracy
2017-02-07 01:08:58.980906,2017-02-07 01:11:02.654563,TREC,No Augmentation,0.1549019599857432,1,711,2.48285198212,39.6825402975
2017-02-07 01:11:02.654664,2017-02-07 01:13:22.546851,TREC,No Augmentation,0.17392519729917355,1,670,2.12122106552,48.2269495726
2017-02-07 01:13:22.546950,2017-02-07 01:16:02.719856,TREC,No Augmentation,0.19382002601611292,1,706,2.32716846466,42.6751583815
2017-02-07 01:16:02.719951,2017-02-07 01:19:26.938394,TREC,No Augmentation,0.21467016498923297,1,863,2.4814119339,40.8045977354
2017-02-07 01:19:26.938482,2017-02-07 01:22:17.730245,TREC,No Augmentation,0.23657200643706267,1,692,2.1364877224,49.4791656733
2017-02-07 01:22:17.730348,2017-02-07 01:25:25.123978,TREC,No Augmentation,0.2596373105057561,1,724,2.39918065071,38.0952388048
2017-02-07 01:25:25.124070,2017-02-07 01:28:43.733032,TREC,No Augmentation,0.2839966563652008,1,514,2.1590218544,50.8695662022
2017-02-07 01:28:43.733144,2017-02-07 01:32:28.717941,TREC,No Augmentation,0.30980391997148626,1,557,2.49671673775,41.0358577967
2017-02-07 01:32:28.718051,2017-02-07 01:35:35.157736,TREC,No Augmentation,0.3372421683184259,1,437,2.20261311531,43.2234436274
2017-02-07 01:35:35.157856,2017-02-07 01:40:09.416856,TREC,No Augmentation,0.36653154442041347,1,631,2.19034934044,47.6351350546
2017-02-07 01:40:09.416958,2017-02-07 01:44:06.272186,TREC,No Augmentation,0.3979400086720376,1,530,2.18583798409,45.6521749496
2017-02-07 01:44:06.272288,2017-02-07 01:48:36.072777,TREC,No Augmentation,0.431798275933005,1,574,2.17811107635,45.8452731371
2017-02-07 01:48:36.072878,2017-02-07 01:52:54.836397,TREC,No Augmentation,0.46852108295774486,1,525,2.00042200089,52.50659585
2017-02-07 01:52:54.836546,2017-02-07 01:58:53.011584,TREC,No Augmentation,0.5086383061657274,1,699,2.12671732903,45.0121641159
2017-02-07 01:58:53.011689,2017-02-07 02:04:55.039761,TREC,No Augmentation,0.5528419686577808,1,576,2.0361661911,53.2438457012
2017-02-07 02:04:55.039927,2017-02-07 02:10:24.763084,TREC,No Augmentation,0.6020599913279624,1,503,2.10559368134,48.8706380129
2017-02-07 02:10:24.763202,2017-02-07 02:16:26.030001,TREC,No Augmentation,0.6575773191777937,1,535,2.03627729416,50.0941634178
2017-02-07 02:16:26.030115,2017-02-07 02:22:09.503272,TREC,No Augmentation,0.7212463990471711,1,485,1.99161970615,48.5420227051
2017-02-07 02:22:09.503391,2017-02-07 02:27:23.084608,TREC,No Augmentation,0.7958800173440752,1,417,1.94991362095,48.5225498676
2017-02-07 02:27:23.084724,2017-02-07 02:33:26.629889,TREC,No Augmentation,0.8860566476931633,1,415,1.78929746151,52.932959795
2017-02-07 02:33:26.630007,2017-02-07 02:40:20.579003,TREC,No Augmentation,1.0,1,447,1.73331594467,54.8267304897
2017-02-07 02:40:20.579119,2017-02-07 02:40:46.403750,TREC,No Augmentation,0.01322826573375524,2,81,3.70508718491,18.1818187237
2017-02-07 02:40:46.403843,2017-02-07 02:41:53.986465,TREC,No Augmentation,0.026872146400301333,2,421,3.36471772194,31.8181812763
2017-02-07 02:41:53.986576,2017-02-07 02:42:27.891842,TREC,No Augmentation,0.04095860767890647,2,118,3.13164305687,29.411765933
2017-02-07 02:42:27.891943,2017-02-07 02:44:13.250438,TREC,No Augmentation,0.05551732784983132,2,453,2.57216215134,42.2222226858
2017-02-07 02:44:13.250528,2017-02-07 02:44:45.826225,TREC,No Augmentation,0.07058107428570726,2,108,3.35722541809,21.0526317358
2017-02-07 02:44:45.826315,2017-02-07 02:46:49.351624,TREC,No Augmentation,0.08618614761628329,2,499,2.81619119644,35.7142865658
2017-02-07 02:46:49.351738,2017-02-07 02:48:32.446168,TREC,No Augmentation,0.10237290870955862,2,490,2.70841813087,33.7349385023
